datetime,symbol,open,high,low,close,volume
2025-09-25 09:00:00,MCX:GOLD1!,112469.0,112490.0,112350.0,112414.0,277.0
2025-09-25 09:15:00,MCX:GOLD1!,112416.0,112449.0,112292.0,112300.0,168.0
2025-09-25 09:30:00,MCX:GOLD1!,112300.0,112300.0,112182.0,112212.0,222.0
2025-09-25 09:45:00,MCX:GOLD1!,112200.0,112300.0,112200.0,112275.0,115.0
2025-09-25 10:00:00,MCX:GOLD1!,112290.0,112483.0,112289.0,112466.0,154.0
2025-09-25 10:15:00,MCX:GOLD1!,112497.0,112526.0,112410.0,112430.0,94.0
2025-09-25 10:30:00,MCX:GOLD1!,112428.0,112446.0,112400.0,112410.0,78.0
2025-09-25 10:45:00,MCX:GOLD1!,112422.0,112422.0,112337.0,112393.0,125.0
2025-09-25 11:00:00,MCX:GOLD1!,112445.0,112595.0,112409.0,112500.0,139.0
2025-09-25 11:15:00,MCX:GOLD1!,112517.0,112600.0,112487.0,112600.0,149.0
2025-09-25 11:30:00,MCX:GOLD1!,112560.0,112811.0,112535.0,112747.0,356.0
2025-09-25 11:45:00,MCX:GOLD1!,112769.0,112837.0,112740.0,112740.0,158.0
2025-09-25 12:00:00,MCX:GOLD1!,112730.0,112762.0,112580.0,112656.0,146.0
2025-09-25 12:15:00,MCX:GOLD1!,112650.0,112670.0,112570.0,112635.0,199.0
2025-09-25 12:30:00,MCX:GOLD1!,112625.0,112689.0,112610.0,112670.0,93.0
2025-09-25 12:45:00,MCX:GOLD1!,112670.0,112754.0,112632.0,112754.0,101.0
2025-09-25 13:00:00,MCX:GOLD1!,112736.0,112938.0,112652.0,112915.0,199.0
2025-09-25 13:15:00,MCX:GOLD1!,112943.0,113075.0,112909.0,112995.0,283.0
2025-09-25 13:30:00,MCX:GOLD1!,112999.0,113152.0,112915.0,113140.0,332.0
2025-09-25 13:45:00,MCX:GOLD1!,113140.0,113250.0,113061.0,113066.0,334.0
2025-09-25 14:00:00,MCX:GOLD1!,113071.0,113153.0,112913.0,113004.0,212.0
2025-09-25 14:15:00,MCX:GOLD1!,113060.0,113151.0,112900.0,113085.0,173.0
2025-09-25 14:30:00,MCX:GOLD1!,113046.0,113084.0,113005.0,113064.0,95.0
2025-09-25 14:45:00,MCX:GOLD1!,113055.0,113062.0,112920.0,112920.0,113.0
2025-09-25 15:00:00,MCX:GOLD1!,112915.0,113131.0,112914.0,113130.0,62.0
2025-09-25 15:15:00,MCX:GOLD1!,113130.0,113240.0,113045.0,113100.0,125.0
2025-09-25 15:30:00,MCX:GOLD1!,113104.0,113135.0,113000.0,113031.0,147.0
2025-09-25 15:45:00,MCX:GOLD1!,113025.0,113157.0,113014.0,113108.0,97.0
2025-09-25 16:00:00,MCX:GOLD1!,113095.0,113164.0,113095.0,113150.0,83.0
2025-09-25 16:15:00,MCX:GOLD1!,113145.0,113220.0,113075.0,113145.0,168.0
2025-09-25 16:30:00,MCX:GOLD1!,113150.0,113150.0,112712.0,112793.0,202.0
2025-09-25 16:45:00,MCX:GOLD1!,112802.0,112976.0,112786.0,112931.0,147.0
2025-09-25 17:00:00,MCX:GOLD1!,112931.0,112980.0,112866.0,112922.0,139.0
2025-09-25 17:15:00,MCX:GOLD1!,112921.0,112995.0,112904.0,112990.0,81.0
