datetime,symbol,open,high,low,close,volume
2025-06-05 20:45:00,MCX:GOLD1!,98300.0,98300.0,98141.0,98180.0,417.0
2025-06-05 21:00:00,MCX:GOLD1!,98170.0,98180.0,97830.0,97881.0,987.0
2025-06-05 21:15:00,MCX:GOLD1!,97883.0,97884.0,97590.0,97710.0,849.0
2025-06-05 21:30:00,MCX:GOLD1!,97659.0,97834.0,97573.0,97834.0,434.0
2025-06-05 21:45:00,MCX:GOLD1!,97824.0,97885.0,97781.0,97798.0,172.0
2025-06-05 22:00:00,MCX:GOLD1!,97778.0,97850.0,97774.0,97839.0,158.0
2025-06-05 22:15:00,MCX:GOLD1!,97855.0,98007.0,97846.0,97925.0,250.0
2025-06-05 22:30:00,MCX:GOLD1!,97945.0,97945.0,97829.0,97832.0,155.0
2025-06-05 22:45:00,MCX:GOLD1!,97840.0,97950.0,97840.0,97893.0,122.0
2025-06-05 23:00:00,MCX:GOLD1!,97901.0,97925.0,97854.0,97885.0,71.0
2025-06-05 23:15:00,MCX:GOLD1!,97885.0,97933.0,97815.0,97933.0,206.0
2025-06-06 09:00:00,MCX:GOLD1!,98249.0,98378.0,98226.0,98334.0,388.0
2025-06-06 09:15:00,MCX:GOLD1!,98333.0,98378.0,98325.0,98330.0,99.0
2025-06-06 09:30:00,MCX:GOLD1!,98330.0,98355.0,98270.0,98322.0,121.0
2025-06-06 09:45:00,MCX:GOLD1!,98314.0,98350.0,98259.0,98320.0,41.0
2025-06-06 10:00:00,MCX:GOLD1!,98320.0,98573.0,98280.0,98420.0,338.0
2025-06-06 10:15:00,MCX:GOLD1!,98420.0,98500.0,98388.0,98471.0,100.0
2025-06-06 10:30:00,MCX:GOLD1!,98477.0,98477.0,98401.0,98440.0,100.0
2025-06-06 10:45:00,MCX:GOLD1!,98440.0,98440.0,98270.0,98300.0,121.0
2025-06-06 11:00:00,MCX:GOLD1!,98300.0,98300.0,98128.0,98159.0,257.0
2025-06-06 11:15:00,MCX:GOLD1!,98157.0,98170.0,97987.0,98159.0,342.0
2025-06-06 11:30:00,MCX:GOLD1!,98159.0,98164.0,98088.0,98105.0,72.0
2025-06-06 11:45:00,MCX:GOLD1!,98105.0,98189.0,98100.0,98158.0,83.0
2025-06-06 12:00:00,MCX:GOLD1!,98156.0,98156.0,98001.0,98001.0,49.0
2025-06-06 12:15:00,MCX:GOLD1!,97983.0,98060.0,97940.0,98021.0,124.0
